,Area,Year,Variable,Value
310251,World,2000,Total Generation,14958.0
310269,World,2000,Total emissions,6963.9
310317,World,2001,Total Generation,15181.69
310335,World,2001,Total emissions,7091.93
310383,World,2002,Total Generation,15717.11
310401,World,2002,Total emissions,7391.97
310449,World,2003,Total Generation,16272.99
310467,World,2003,Total emissions,7803.46
310515,World,2004,Total Generation,17069.87
310533,World,2004,Total emissions,8111.46
310581,World,2005,Total Generation,17739.28
310599,World,2005,Total emissions,8486.74
310647,World,2006,Total Generation,18445.2
310665,World,2006,Total emissions,8862.69
310713,World,2007,Total Generation,19329.86
310731,World,2007,Total emissions,9443.37
310779,World,2008,Total Generation,19634.51
310797,World,2008,Total emissions,9471.92
310845,World,2009,Total Generation,19526.14
310863,World,2009,Total emissions,9346.5
310911,World,2010,Total Generation,20857.91
310929,World,2010,Total emissions,10008.41
310977,World,2011,Total Generation,21608.25
310995,World,2011,Total emissions,10506.21
311043,World,2012,Total Generation,22058.6
311061,World,2012,Total emissions,10684.1
311109,World,2013,Total Generation,22706.26
311127,World,2013,Total emissions,11000.24
311175,World,2014,Total Generation,23273.74
311193,World,2014,Total emissions,11178.55
311241,World,2015,Total Generation,23543.55
311259,World,2015,Total emissions,11094.9
311307,World,2016,Total Generation,24163.95
311325,World,2016,Total emissions,11234.02
311373,World,2017,Total Generation,24856.33
311391,World,2017,Total emissions,11471.58
311439,World,2018,Total Generation,25820.35
311457,World,2018,Total emissions,11829.18
311505,World,2019,Total Generation,26284.06
311523,World,2019,Total emissions,11776.05
311571,World,2020,Total Generation,26026.15
311589,World,2020,Total emissions,11348.19
311637,World,2021,Total Generation,27503.66
311655,World,2021,Total emissions,12130.79
